round,domain_idx,rsum_i,n_fold_i2t_r1,n_fold_t2i_r1,i2t_r1,t2i_r1,n_fold_i2t_r5,n_fold_t2i_r5,i2t_r5,t2i_r5
5,3,236.62165963431787,76.0,82.0,32.70042194092827,45.92123769338959,96.0,98.0,65.18987341772151,82.9113924050633
5,4,224.06580259222332,74.0,72.0,39.0827517447657,38.983050847457626,96.0,90.0,70.7876370887338,76.86939182452642
6,0,254.54889071487264,82.0,76.0,44.37140509449466,52.17748562037798,100.0,96.0,82.58011503697617,88.5784716516023
6,1,261.428093645485,80.0,78.0,45.819397993311036,57.608695652173914,100.0,98.0,80.51839464882943,86.37123745819397
6,2,199.72804532577902,64.0,54.0,36.40226628895184,45.32577903682719,96.0,92.0,67.84702549575071,76.48725212464589
6,3,237.9887482419128,76.0,84.0,32.63009845288326,45.358649789029535,94.0,98.0,64.83825597749649,83.19268635724332
6,4,226.36490528414754,74.0,74.0,39.68095712861416,38.6839481555334,96.0,90.0,70.7876370887338,76.27118644067797
7,0,254.8775677896467,82.0,76.0,44.86442070665571,52.01314708299096,100.0,96.0,82.16926869350863,87.83894823336072
7,1,261.01003344481603,80.0,78.0,45.819397993311036,57.19063545150502,100.0,98.0,81.0200668896321,86.37123745819397
7,2,195.86968838526911,62.0,52.0,36.47308781869688,45.39660056657224,96.0,92.0,68.13031161473087,76.84135977337111
7,3,236.76230661040785,74.0,84.0,33.19268635724332,45.56962025316456,94.0,98.0,64.76793248945148,83.26300984528832
7,4,224.16550348953143,74.0,72.0,39.481555333998,38.6839481555334,96.0,90.0,71.68494516450649,76.5702891326022
8,0,255.45275267050124,82.0,76.0,45.19309778142974,52.259654889071484,100.0,96.0,81.9227608874281,88.4963023829088
8,1,262.59197324414714,80.0,80.0,45.735785953177256,56.8561872909699,100.0,98.0,81.10367892976589,86.78929765886288
8,2,199.56940509915015,62.0,54.0,37.25212464589235,46.31728045325779,96.0,92.0,67.98866855524079,76.91218130311614
8,3,235.63713080168776,74.0,84.0,32.70042194092827,44.936708860759495,94.0,98.0,65.0492264416315,83.33333333333333
8,4,221.06879361914258,74.0,70.0,38.783649052841476,38.2851445663011,96.0,90.0,70.7876370887338,76.86939182452642
9,0,255.0419063270337,82.0,76.0,45.275267050123254,51.76663927691043,100.0,96.0,81.84059161873459,88.5784716516023
9,1,259.9230769230769,80.0,78.0,45.1505016722408,56.77257525083612,100.0,98.0,80.93645484949833,87.04013377926421
9,2,197.72804532577902,62.0,54.0,35.906515580736546,45.82152974504249,96.0,92.0,67.70538243626062,76.06232294617564
9,3,236.0590717299578,74.0,84.0,32.91139240506329,45.14767932489451,94.0,98.0,64.55696202531645,82.63009845288326
9,4,221.7666999002991,72.0,72.0,38.185443668993024,39.581256231306085,96.0,90.0,70.98703888334995,77.7666999002991
10,0,253.80936729663108,82.0,76.0,45.028759244042725,50.780608052588335,100.0,96.0,81.9227608874281,88.41413311421529
10,1,262.59197324414714,82.0,78.0,45.48494983277592,57.10702341137124,100.0,98.0,80.43478260869566,86.95652173913044
10,2,198.22379603399432,62.0,54.0,36.827195467422094,45.39660056657224,96.0,92.0,67.4929178470255,76.84135977337111
10,3,235.14486638537272,74.0,84.0,31.856540084388186,45.28832630098453,94.0,98.0,64.9789029535865,82.84106891701829
